名称,osc prog cml 2.5v stby 50ppm smd,型号,sit9002ai-38h25sb,分类,可编程振荡器,生产厂家,sitime,厂商地域,美国,质量等级,工业级,温度范围,-40～85℃,output,cml	,	type,mems (silicon)	,	function,standby	,	series,sit9002	,	mounting type,surface mount	,	voltage - supply,2.5v	,	current - supply (max),51ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	size / dimension,0.276 l x 0.197 w (7.00mm x 5.00mm)	,	part status,active,封装形式,smd(6)
名称,osc prog hcsl 2.5v en/ds 50ppm,型号,sit9002ai-48n25eb,分类,可编程振荡器,生产厂家,sitime,厂商地域,美国,质量等级,工业级,温度范围,-40～85℃,output,hcsl	,	type,mems (silicon)	,	function,enable/disable	,	series,sit9002	,	mounting type,surface mount	,	voltage - supply,2.5v	,	current - supply (max),80ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	size / dimension,0.276 l x 0.197 w (7.00mm x 5.00mm)	,	part status,active,封装形式,smd(6)
名称,osc prog hcsl 2.5v stby 50ppm,型号,sit9002ai-48n25sb,分类,可编程振荡器,生产厂家,sitime,厂商地域,美国,质量等级,工业级,温度范围,-40～85℃,output,hcsl	,	type,mems (silicon)	,	function,standby	,	series,sit9002	,	mounting type,surface mount	,	voltage - supply,2.5v	,	current - supply (max),80ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	size / dimension,0.276 l x 0.197 w (7.00mm x 5.00mm)	,	part status,active,封装形式,smd(6)
名称,osc prog lvpecl 2.5v stby 25ppm,型号,sit9002ac-08h25sd,分类,可编程振荡器,生产厂家,sitime,厂商地域,美国,封装形式,smd(6),温度范围,-20～70℃,output,lvpecl	,	type,mems (silicon)	,	function,standby	,	series,sit9002	,	mounting type,surface mount	,	voltage - supply,2.5v	,	current - supply (max),84ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	size / dimension,0.276 l x 0.197 w (7.00mm x 5.00mm)	,	height,0.039 (1.00mm)	,	part status,active
名称,osc mems prog 7.0x5.0mm 3.3v,型号,sit9122ai-2d-33s,分类,可编程振荡器,生产厂家,sitime,厂商地域,美国,质量等级,工业级,温度范围,-40～85℃,	工作电压,3.3V	,	output,lvds	,	type,mems (silicon)	,	function,standby	,	mounting type,surface mount	,	current - supply (max),55ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	available frequency range,220mhz ~ 625mhz,封装形式,smd(6),封装尺寸,"dfn,lcc",频率稳定度,±20ppm; ±25ppm; ±50ppm
名称,osc vctcxo prog lvcmos smd,型号,asgtx-c-2,分类,可编程振荡器,生产厂家,abracon,厂商地域,美国,质量等级,工业级,温度范围,-40～85℃,	工作电压,3.3V	,	output,lvcmos	,	type,vctcxo	,	mounting type,surface mount	,	current - supply (max),45ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	size / dimension,0.354 l x 0.276 w (9.00mm x 7.00mm)	,	available frequency range,10mhz ~ 250mhz,封装形式,smd(6),封装尺寸,"dfn,lcc",频率稳定度,±2ppm
名称,osc vctcxo prog lvds smd,型号,asgtx-d-1,分类,可编程振荡器,生产厂家,abracon,厂商地域,美国,温度范围,-30～70℃,	工作电压,3.3V	,	output,lvds	,	type,vctcxo	,	mounting type,surface mount	,	current - supply (max),40ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	size / dimension,0.354 l x 0.276 w (9.00mm x 7.00mm)	,	height,0.088 (2.24mm)	,	available frequency range,10mhz ~ 1.5ghz,封装形式,smd(6),频率稳定度,±1ppm,封装尺寸,"dfn,lcc"
名称,osc cmos prog 1.8v oe smd,型号,sg-8003jf-pel,分类,可编程振荡器,生产厂家,epson,厂商地域,日本,质量等级,工业级,温度范围,-40～85℃,	工作电压,1.8V	,	output,cmos	,	type,xo (standard)	,	function,enable/disable	,	mounting type,surface mount	,	current - supply (max),10ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	available frequency range,1mhz ~ 166mhz,封装形式,lesop(4),封装尺寸,"0.181,4.60mmwidth",频率稳定度,±50ppm
名称,osc cmos prog 1.8v st smd,型号,sg-8003jf-seb,分类,可编程振荡器,生产厂家,epson,厂商地域,日本,温度范围,-20～70℃,	工作电压,1.8V	,	output,cmos	,	type,xo (standard)	,	function,standby	,	mounting type,surface mount	,	current - supply (max),10ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	size / dimension,0.280 l x 0.181 w (7.10mm x 4.60mm)	,	available frequency range,1mhz ~ 166mhz,封装形式,lesop(4),频率稳定度,±50ppm,封装尺寸,"0.181,4.60mmwidth"
名称,osc cmos prog 1.8v st smd,型号,sg-8003jf-sec,分类,可编程振荡器,生产厂家,epson,厂商地域,日本,温度范围,-20～70℃,	工作电压,1.8V	,	output,cmos	,	type,xo (standard)	,	function,standby	,	mounting type,surface mount	,	current - supply (max),10ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	size / dimension,0.280 l x 0.181 w (7.10mm x 4.60mm)	,	available frequency range,1mhz ~ 166mhz,封装形式,lesop(4),频率稳定度,±100ppm,封装尺寸,"0.181,4.60mmwidth"
名称,osc cmos prog 2.5v oe smd,型号,sg-8003jf-pdc,分类,可编程振荡器,生产厂家,epson,厂商地域,日本,温度范围,-20～70℃,	工作电压,2.5V	,	output,cmos	,	type,xo (standard)	,	function,enable/disable	,	mounting type,surface mount	,	current - supply (max),15ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	size / dimension,0.280 l x 0.181 w (7.10mm x 4.60mm)	,	available frequency range,1mhz ~ 166mhz,封装形式,lesop(4),频率稳定度,±100ppm,封装尺寸,"0.181,4.60mmwidth"
